Retailer,Vendor,Category,Name,Price,Product Link,Description,Product Details,Description Lexical Diversity,Description Length,Materials,Size Guide,Luxury Tier,Number of pictures,Image Links
La Garconne,Frenckenberger,SCARF,Woven Cashmere Bandana — Dark Red,140.0,https://lagarconne.com/collections/all/products/ps26fr016-frenckenberger-woven-bandana-dark-red,Frenckenberger dark red bandana scarf with a square shape in lightweight and soft woven cashmere. Finished with frayed edges throughout.,Color: Dark Red. 100% Cashmere. Made in Mongolia.,95.0,20,['cashmere'],False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session13337_TMHILHPS20_S_25029cb8-6a0a-49b6-bb8e-302ae36982a5_4096x4096.jpg?v=1765310987
La Garconne,Frenckenberger,SCARF,Woven Cashmere Bandana — Black Olive,140.0,https://lagarconne.com/collections/all/products/ps26fr015-frenckenberger-woven-bandana-black-olive,Frenckenberger dark olive green bandana scarf with a square shape in lightweight and soft woven cashmere. Finished with frayed edges throughout.,Color: Black Olive. 100% Cashmere. Made in Mongolia.,95.24,21,['cashmere'],False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session13336_TMHILHPS20_S_823ad061-f236-481f-b6cb-c1b232be655a_4096x4096.jpg?v=1765311017
La Garconne,Frenckenberger,SCARF,Woven Cashmere Bandana — Black,140.0,https://lagarconne.com/collections/all/products/ps26fr014-frenckenberger-woven-bandana-black,Frenckenberger dark olive green bandana scarf with a square shape in lightweight and soft woven cashmere. Finished with frayed edges throughout.,Color: Black. 100% Cashmere. Made in Mongolia.,95.24,21,['cashmere'],False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session13335_TMHILHPS20_S_4096x4096.jpg?v=1765311045
La Garconne,Extreme Cashmere,HAT,n°444 Cashmere Hat — Army,250.0,https://lagarconne.com/collections/all/products/ps26ex030-extreme-cashmere-n-444-hat,Extreme Cashmere grey classic beanie hat in soft cashmere ribbed knit.,Color: Army. 100% Cashmere. Imported.,100.0,11,['cashmere'],False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session12562_TMHILHPS20_S_afcf4f77-fd14-4271-918e-10804f04345f_4096x4096.jpg?v=1764952768
La Garconne,6397,PANTS,Paris 5-Pocket Jean — Black,225.0,https://lagarconne.com/collections/all/products/fw2563019-6397-paris-5-pkt,"6397 black signature mid-rise jean with slightly cropped, straight legs in cotton denim. Features belt loops, a 5-pocket construction, silver-tone hardware and button and zip-fly fastening.",Color: Black. 100% Cotton. Made in Italy.,96.15,26,['cotton'],True,Affordable fashion,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11959_TMHILHPS20_S_10d43836-59ff-4e84-a633-8f07ba8aeff5_4096x4096.jpg?v=1764356409
La Garconne,Junya Watanabe MAN,SNEAKERS,x New Balance U471 Sneaker — Gray,180.0,https://lagarconne.com/collections/all/products/fw25jwm16-junya-watanabe-man-x-new-balance-junya-watanabe-man-x-new-balance-u471,"Junya Watanabe MAN in collaboration with New Balance grey signature U471 low top lace-up sneaker with a slim silhouette in breathable mesh underlay and rugged suede overlays. Features tonal laces fastening, exposed-foam tongue, EVA midsole, logo detail at side and back heel, and a r ubber outsole with classic herringbone pattern.",Color: Gray. Upper Underlays: 100% Synthetic Mesh. Overlays: 100% Leather. Outsole: 100% Rubber. Imported.,88.24,51,"['leather', 'suede', 'lace', 'rubber']",False,Affordable fashion,4,https://lagarconne.com/cdn/shop/files/junyaxnbgrey1_4096x4096.png?v=1764013936
La Garconne,Junya Watanabe MAN,SNEAKERS,x New Balance U471 Sneaker — Black,180.0,https://lagarconne.com/collections/all/products/fw25jwm15-junya-watanabe-man-x-new-balance-junya-watanabe-man-x-new-balance-u471,"Junya Watanabe MAN in collaboration with New Balance black signature U471 low top lace-up sneaker with a slim silhouette in breathable mesh underlay and rugged suede overlays. Features tonal laces fastening, exposed-foam tongue, EVA midsole, logo detail at side and back heel, and a r ubber outsole with classic herringbone pattern.",Color: Black. Upper Underlays: 100% Synthetic Mesh. Overlays: 100% Leather. Outsole: 100% Rubber. Imported.,88.24,51,"['leather', 'suede', 'lace', 'rubber']",False,Affordable fashion,3,https://lagarconne.com/cdn/shop/files/junyaxnbblack1_4096x4096.png?v=1764013931
La Garconne,Extreme Cashmere,TOP,n°243 Spencer Stretch Cashmere Top,525.0,https://lagarconne.com/collections/all/products/ps26ex028-extreme-cashmere-n-243-spencer-top,"Extreme Cashmere raven black relaxed sweater vest with a V-neck in stretch cashmere blend knit. Features a rib trim at neckline, armholes and hem. Boxy silhouette.","Color: Raven. 88% Cashmere, 10% Nylon, 2% Elastane. Imported.",96.15,26,"['cashmere', 'nylon']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11837_TMHILHPS20_S_2a4216d5-11a8-432d-9a3b-25a6a1d6a9d7_4096x4096.jpg?v=1764629171
La Garconne,Extreme Cashmere,PANTS,n°461 Wander Stretch Cashmere Trouser,725.0,https://lagarconne.com/collections/all/products/ps26ex027-extreme-cashmere-n-461-wander-trouser,"Extreme Cashmere black pull-on slightly cropped trousers with straight legs in stretch cashmere blend knit. Features an elasticated waistband, adjustable drawstring at waist and concealed side pockets.","Color: Raven. 88% Cashmere, 10% Nylon, 2% Elastane. Imported.",100.0,27,"['cashmere', 'nylon']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11936_TMHILHPS20_S1_4096x4096.jpg?v=1764628040
La Garconne,Extreme Cashmere,SWEATER,n°385 Xtra Cute Cashmere Cardigan,1000.0,https://lagarconne.com/collections/all/products/ps26ex026-extreme-cashmere-n-385-xtra-cute-cardigan,"Extreme Cashmere raven black cardigan with a cropped bomber fit and two-way zipper closure at front in luxurious cashmere jacquard knit. Features a high neck, dropped shoulders, angled pockets at sides and rib trim finishings at neck, cuffs and wide hem.",Color: Raven. 100% Cashmere. Imported.,85.37,41,"['cashmere', 'jacquard']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11336_TMHILHPS20_S_4096x4096.jpg?v=1763670561
